Nombre,Column12
ABBIE,F
ABBY,F
ABBY-ENGEL,F
ABHIE,F
ABI,F
ABIGAIL,F
ABIGAÍL,F
ABIGAYL,F
ABISAG,F
ABRIELLE,F
ABRIL,F
ABY,F
ABYGAIL,F
ACHELEY,F
ACHLEY,F
ACHLI,F
ACSA,F
ADA,F
ADAHIA,F
ADAIA,F
ADAILY,F
ADALÍA,F
ADALID,F
ADALIS,F
ADALÍS,F
ADALIZ,F
ADALUZ,F
ADAMARIS,F
ÁDAMI,F
ADANAÍ,F
ADANARIS,F
ADANAY,F
ADANAYS,F
ADARA,F
ADASME,F
ADDY,F
ADEL,F
ADELA,F
ADELE,F
ADELEHIZ,F
ADELEYN,F
ADELIE,F
ADELINA,F
ADELINE,F
ADELIS,F
ADELLE,F
ADERLING,F
ADERLYN,F
ADHARA,F
ADI,F
ADINA,F
ADLIH,F
ADLYN,F
ADMANE,F
ADRIA,F
ADRIANA,F
ADRIELA,F
ADY,F
AEMY,F
AEN,F
AERIS,F
AERYN,F
AFA,F
AGATA,F
ÁGATA,F
AGATHA,F
ÁGATHA,F
AGATTA,F
AGNES,F
AGOSTINA,F
AGUEDA,F
AGUSTHINA,F
AGUSTINA,F
AGUSTÍNA,F
AGUSTINNA,F
AGUSTYNA,F
AHELIN,F
AHIDALY,F
AHILYN,F
AHIME,F
AHINARA,F
AHINOA,F
AHLAM,F
AHLEY,F
AHYLIN,F
AHYMARA,F
AHYNARA,F
AIANNE,F
AICHA,F
AIDA,F
AÍDA,F
AIDY,F
AIELEN,F
AIIN,F
AIKA,F
AIKO,F
AILANY,F
AILED,F
AILEEN,F
AILEN,F
AILÉN,F
AILHEN,F
AILIN,F
AILÍN,F
AILINE,F
AILINNE,F
AILLEN,F
AILLINE,F
AILY,F
AILYN,F
AILYNE,F
AIMAR,F
AIMARA,F
AIME,F
AIMEE,F
AIMÉE,F
AÍMEE,F
AIMI,F
AIMMY,F
AIMY,F
AIN,F
AÍN,F
AINA,F
AINARA,F
AINDRA,F
AINE,F
AINHOA,F
AINNARA,F
AIRA,F
AISHA,F
AISHAH,F
AISLINN,F
AISLY,F
AITANA,F
AITIANA,F
AIXA,F
AKARI,F
AKEMI,F
AKEMY,F
AKEYKO,F
AKIANE,F
AKIRA,F
ALAFNE,F
ALAI,F
ALAIS,F
ALANA,F
ALANI,F
ALANIS,F
ALANÍS,F
ÁLANIS,F
ALANIZ,F
ALANNIS,F
ALANNISS,F
ALANYS,F
ALANYZ,F
ALÁNYZ,F
ALBA,F
ALDANA,F
ALDANNA,F
ALEEAH,F
ALEI,F
ALEJANDRA,F
ALEJANDRINA,F
ALEJHANDRA,F
ALEKSANDRA,F
ALELI,F
ALELÍ,F
ALELIE,F
ALELY,F
ALEMI,F
ALEN,F
ALÉN,F
ALËN,F
ALENA,F
ALENE,F
ALENÍ,F
ALENKA,F
ALENRAY,F
ALESANDRA,F
ALESHKA,F
ALESKA,F
ALESSANDRA,F
